"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
249296668,"JP1",13,0,235,3,4,36,11,4,157,4,14,145,7,4,84,4,12,83,4,12,28,11,4,202,7,4,143,14,4,101,21,4
248147675,"JP1",13,0,245,4,11,80,4,14,26,12,4,202,14,4,432,4,3,75,4,12,497,14,4,141,4,11,34,14,4,22,7,4
248100253,"JP1",13,0,420,4,12,18,14,4,141,4,11,222,4,7,99,4,14,61,12,4,111,4,14,254,4,11,22,7,4,122,6,4
248068919,"JP1",13,0,81,4,7,777,14,4,26,14,4,420,4,12,28,11,4,267,4,14,254,11,4,517,14,4,202,4,7,14,4,12
246003308,"JP1",13,0,58,4,14,30,11,4,18,4,7,99,14,4,80,4,14,157,14,4,235,7,4,154,4,11,164,14,4,62,14,4
245927227,"JP1",13,0,121,11,4,412,14,4,105,4,14,89,3,4,222,7,4,20,4,11,245,14,4,80,4,14,145,7,4,31,4,12
245925699,"JP1",13,0,81,7,4,30,3,4,420,4,12,350,14,3,59,4,11,51,7,4,99,14,4,39,14,4,104,11,4,106,14,4
245924727,"JP1",13,1,12,14,4,103,4,14,119,4,7,107,12,4,245,4,11,89,14,4,142,21,4,202,4,7,83,4,12,64,4,11
245943434,"JP1",13,0,55,14,4,32,4,11,68,12,4,50,4,14,202,4,7,420,4,12,9,4,11,25,14,4,246,4,14,15,7,4
216137130,"JP1",13,0,74,4,21,18,4,7,89,14,4,106,11,4,83,4,12,103,4,14,121,4,11,164,12,4,161,7,4,15,7,4
213098673,"JP1",13,1,35,11,14,9,14,4,83,4,12,74,4,12,13,4,12,145,4,7,104,11,4,61,12,4,27,12,4,111,14,4
212939394,"JP1",13,0,19,11,4,51,12,4,89,4,14,56,14,4,80,4,14,114,12,4,74,4,12,245,4,11,222,7,4,235,4,14
212919168,"JP1",13,0,89,14,4,236,4,7,10,12,4,83,4,12,421,4,11,12,4,14,51,7,4,58,12,4,64,4,11,142,14,4
210554604,"JP1",13,1,16,3,4,22,7,4,36,11,4,80,4,14,18,12,4,86,14,4,412,14,4,268,12,4,19,4,11,145,4,7
210400482,"JP1",13,1,145,7,4,246,11,4,43,4,14,83,4,12,4,12,4,11,11,4,236,7,4,75,12,4,412,14,4,61,4,12
210379322,"JP1",13,1,45,12,4,101,4,14,141,11,4,420,4,12,81,4,12,154,11,4,222,7,4,267,4,3,80,4,14,4,12,4
210378532,"JP1",13,0,11,11,4,268,12,4,122,12,4,51,7,4,54,4,14,22,4,7,50,4,14,80,4,14,4,12,4,24,4,11
195786019,"JP1",13,0,412,14,4,67,4,7,83,4,12,76,11,4,8,12,4,90,4,12,78,12,4,16,21,4,202,4,7,56,4,11
195216420,"JP1",13,1,518,14,4,236,4,7,11,11,4,7,14,4,75,12,4,5,4,11,412,14,4,157,14,4,81,4,7,83,4,12
193485260,"JP1",13,1,85,4,12,104,4,11,38,12,4,37,4,14,21,7,4,80,4,14,7,4,14,421,11,4,143,14,4,111,4,12
193141676,"JP1",13,0,81,4,7,11,11,4,8,12,4,61,14,4,267,14,4,80,4,14,51,7,4,104,4,11,143,4,14,54,4,12
193150922,"JP1",13,0,427,4,11,92,4,12,21,4,7,12,4,14,238,14,4,8,12,4,56,4,14,102,4,11,104,7,4,45,4,14
193092104,"JP1",13,0,58,4,12,44,14,4,59,4,11,518,4,7,42,4,7,80,4,14,81,4,7,412,4,14,38,4,12,78,11,4
193021446,"JP1",13,1,110,7,4,64,4,11,99,4,14,103,14,4,80,4,14,24,11,4,53,14,4,67,7,4,134,4,14,8,4,12
192967777,"JP1",13,0,84,4,14,80,4,14,412,14,4,236,7,4,81,4,11,202,4,7,83,12,4,45,4,12,28,11,4,16,4,21
192977530,"JP1",13,0,64,4,11,99,4,3,90,12,4,81,4,7,164,4,12,30,12,4,80,4,14,78,4,14,141,4,11,222,4,7
192987161,"JP1",13,1,58,4,14,64,11,4,145,4,7,3,4,14,80,4,14,10,12,4,15,7,4,238,14,4,25,14,4,254,11,4
192687916,"JP1",13,0,201,4,3,157,4,12,90,4,3,21,7,4,120,11,4,102,11,4,18,4,7,105,4,14,80,4,14,412,14,4
192683923,"JP1",13,0,81,7,4,236,14,4,427,4,11,83,4,12,103,14,4,90,12,4,161,4,14,64,11,4,24,4,12,22,4,7
192703166,"JP1",13,0,555,4,14,101,7,4,64,4,11,83,4,12,81,4,12,117,4,14,34,14,4,76,11,4,110,7,4,17,4,14
191880643,"JP1",13,0,161,14,4,55,4,14,41,4,12,33,4,11,222,7,4,201,4,14,38,4,12,67,12,4,21,4,7,32,4,11
191879079,"JP1",13,1,115,12,4,30,4,11,222,4,7,83,4,12,37,4,3,18,7,4,25,14,4,75,12,4,74,12,4,60,11,4
191791282,"JP1",13,0,80,14,4,22,7,4,25,14,4,14,4,12,203,11,4,90,4,12,2,6,11,106,4,12,412,14,4,67,4,7
190408619,"JP1",13,0,68,4,14,36,12,4,54,14,4,157,11,4,24,4,11,412,14,4,81,7,4,5,4,11,83,4,12,142,14,4
190382288,"JP1",13,0,12,14,4,83,4,12,102,4,11,127,12,4,22,4,7,164,4,11,23,14,4,498,4,1,16,3,4,90,1,4
190391384,"JP1",13,0,141,11,4,34,4,12,518,4,14,24,4,12,236,7,4,51,7,4,38,4,12,30,11,4,412,14,4,83,4,12
190257834,"JP1",13,1,157,7,4,555,4,14,83,4,12,28,11,4,43,14,4,24,4,11,236,7,4,89,14,4,56,4,14,90,4,12
190255963,"JP1",13,0,145,7,4,33,11,4,85,12,4,99,4,7,134,14,4,117,4,1,44,14,4,222,7,4,83,4,12,11,11,4
190254507,"JP1",13,1,59,4,11,83,4,12,555,14,4,202,7,4,81,4,21,72,11,4,25,4,14,9,4,14,8,12,4,51,7,4
190096096,"JP1",13,0,20,11,4,267,14,4,82,4,12,143,12,4,21,4,7,56,11,4,81,7,4,122,4,6,432,14,4,99,12,4
193207807,"JP1",13,0,8,14,4,236,7,4,203,11,4,16,14,4,164,4,12,80,4,14,267,4,7,79,11,4,15,12,4,69,4,14
190065545,"JP1",13,0,202,4,7,83,4,12,90,12,4,53,14,4,141,11,4,145,7,4,127,14,4,59,11,4,39,4,12,201,14,4

