"Generation","Hard Engage","Team Fight","Poke"
1,96.0,90.8567901234568,0
2,96.0,90.8567901234568,0
3,96.0,90.8567901234568,0
4,96.0,90.8567901234568,0
5,96.0,90.8567901234568,0
6,96.0,90.8567901234568,0
7,96.0,90.8567901234568,0
8,96.0,90.8567901234568,0
9,96.0,90.8567901234568,0
10,96.0,90.8567901234568,0
11,96.0,90.8567901234568,0
12,95.71764705882353,87.1604938271605,0
13,95.71764705882353,87.1604938271605,0
14,95.71764705882353,87.1604938271605,0
15,95.71764705882353,87.1604938271605,0
16,95.71764705882353,87.1604938271605,0
17,95.71764705882353,87.1604938271605,0
18,95.71764705882353,87.1604938271605,0
19,95.71764705882353,87.1604938271605,0
20,95.71764705882353,87.1604938271605,0
21,95.71764705882353,87.1604938271605,0
22,95.71764705882353,87.1604938271605,0
23,95.71764705882353,87.1604938271605,0
24,95.71764705882353,87.1604938271605,0
25,95.71764705882353,88.74567901234568,0
26,95.71764705882353,88.74567901234568,0
27,95.71764705882353,88.74567901234568,0
28,95.71764705882353,88.74567901234568,0
29,95.71764705882353,88.74567901234568,0
30,95.71764705882353,88.74567901234568,0
31,95.76470588235294,88.74567901234568,0
32,95.71764705882353,88.74567901234568,0
33,95.71764705882353,88.74567901234568,0
34,95.71764705882353,88.74567901234568,0
35,95.71764705882353,88.74567901234568,0
36,95.71764705882353,88.74567901234568,0
37,95.71764705882353,88.74567901234568,0
38,95.71764705882353,88.74567901234568,0
39,95.71764705882353,88.74567901234568,0
40,95.71764705882353,88.74567901234568,0
41,95.71764705882353,88.74567901234568,0
42,95.71764705882353,88.74567901234568,0
43,95.71764705882353,88.74567901234568,0
44,95.71764705882353,88.74567901234568,0
45,95.71764705882353,88.74567901234568,0
46,95.71764705882353,88.74567901234568,0
47,95.71764705882353,88.74567901234568,0
48,95.71764705882353,88.74567901234568,0
49,96.37647058823529,89.77777777777777,0
50,95.71764705882353,88.74567901234568,0
51,95.71764705882353,88.74567901234568,0
52,95.71764705882353,88.74567901234568,0
53,95.67058823529412,88.74567901234568,0
54,95.67058823529412,88.74567901234568,0
55,95.67058823529412,88.74567901234568,0
56,95.67058823529412,88.64197530864197,0
57,95.67058823529412,89.25925925925927,0
58,95.67058823529412,89.25925925925927,0
59,95.67058823529412,89.25925925925927,0
60,95.67058823529412,89.25925925925927,0
61,95.67058823529412,89.25925925925927,0
62,95.67058823529412,89.25925925925927,0
63,95.67058823529412,89.25925925925927,0
64,95.67058823529412,89.25925925925927,0
65,95.67058823529412,89.25925925925927,0
66,95.67058823529412,89.7074074074074,0
67,95.67058823529412,89.25925925925927,0
68,95.67058823529412,89.25925925925927,0
69,95.67058823529412,89.25925925925927,0
70,95.67058823529412,89.25925925925927,0
71,95.67058823529412,89.25925925925927,0
72,95.67058823529412,90.37777777777777,0
73,95.67058823529412,90.37777777777777,0
74,95.67058823529412,90.37777777777777,0
75,95.67058823529412,90.37777777777777,0
76,95.67058823529412,90.37777777777777,0
77,95.52941176470588,89.25925925925927,0
78,95.01176470588236,89.25925925925927,0
79,95.2470588235294,89.25925925925927,0
80,95.2470588235294,89.25925925925927,0
81,95.01176470588236,89.25925925925927,0
82,95.01176470588236,89.25925925925927,0
83,95.01176470588236,89.25925925925927,0
84,95.01176470588236,89.25925925925927,0
85,96.32941176470588,90.90123456790123,0
86,95.29411764705881,90.90123456790123,0
87,95.30682352941177,90.90123456790123,0
88,95.34117647058824,90.90123456790123,0
89,95.34117647058824,90.90123456790123,0
90,95.34117647058824,90.90123456790123,0
91,95.34117647058824,90.90123456790123,0
92,95.34117647058824,90.90123456790123,0
93,95.48235294117647,90.90123456790123,0
94,95.48235294117647,90.90123456790123,0
95,95.52941176470588,91.02469135802468,0
96,95.52941176470588,91.02469135802468,0
97,95.52941176470588,91.02469135802468,0
98,95.52941176470588,91.02469135802468,0
99,95.52941176470588,91.02469135802468,0
100,95.52941176470588,91.02469135802468,0
